Player,Country,Team,Goals
Aaron Connolly,Ireland,Brighton & Hove Albion,2
Aaron Wan-Bissaka,England,Manchester United,2
Abdoulaye Doucoure,France,Everton FC,2
Adam Lallana,England,Brighton & Hove Albion,1
Adam Webster,England,Brighton & Hove Albion,1
Adama Traore,Spain,Wolverhampton Wanderers,2
Ademola Lookman,England,Fulham FC,4
Aleksandar Mitrovic,Serbia,Fulham FC,3
Alex Iwobi,Nigeria,Everton FC,1
Alex Oxlade-Chamberlain,England,Liverpool FC,1
Alexandre Lacazette,France,Arsenal FC,13
Alexis Mac Allister,Argentina,Brighton & Hove Albion,1
Alisson Becker,Brazil,Liverpool FC,1
Allan Saint-Maximin,France,Newcastle United,3
Andre Gomes,Portugal,Everton FC,0
Andrew Robertson,Scotland,Liverpool FC,1
Andros Townsend,England,Crystal Palace,1
Andriy Yarmolenko,Ukraine,West Ham United,0
Andy Carroll,England,Newcastle United,1
Angelo Ogbonna,Italy,West Ham United,3
Anthony Elanga,Sweden,Manchester United,1
Anthony Martial,France,Manchester United,4
Antonio Rudiger,Germany,Chelsea FC,1
Anwar El Ghazi,Netherlands,Aston Villa,10
Ashley Barnes,England,Burnley FC,3
Ashley Westwood,England,Burnley FC,3
Aymeric Laporte,Spain,Manchester City,0
Ayoze Perez,Spain,Leicester City,2
Baba Rahman,Ghana,Chelsea FC,0
Ben Chilwell,England,Chelsea FC,3
Ben Johnson,England,West Ham United,1
Ben Mee,England,Burnley FC,2
Ben Osborn,England,Sheffield United,1
Ben White,England,Arsenal FC,0
Benjamin Mendy,France,Manchester City,2
Bernard,Brazil,Everton FC,1
Bernardo Silva,Portugal,Manchester City,2
Bernd Leno,Germany,Arsenal FC,2
Bertrand Traore,Burkina Faso,Aston Villa,7
Billy Sharp,England,Sheffield United,3
Bobby Reid,Jamaica,Fulham FC,5
Bruno Fernandes,Portugal,Manchester United,18
Bukayo Saka,England,Arsenal FC,5
Caglar Soyuncu,Turkey,Leicester City,1
Callum Hudson-Odoi,England,Chelsea FC,2
Callum Robinson,Ireland,West Bromwich Albion,5
Callum Wilson,England,Newcastle United,12
Carlos Vinicius,Brazil,Tottenham Hotspur,1
Cesar Azpilicueta,Spain,Chelsea FC,1
Cesc Fabregas,Spain,Chelsea FC,0
Che Adams,Scotland,Southampton FC,9
Cheikhou Kouyae,Senegal,Crystal Palace,1
Chris Wood,New Zealand,Burnley FC,12
Christian Benteke,Belgium,Crystal Palace,10
Christian Pulisic,USA,Chelsea FC,4
Ciaran Clark,Ireland,Newcastle United,1
Conor Coady,England,Wolverhampton Wanderers,1
Conor Gallagher,England,West Bromwich Albion,2
Conor Hourihane,Ireland,Aston Villa,1
Cristiano Ronaldo,Portugal,Manchester United,0
Craig Dawson,England,West Ham United,3
Curtis Jones,England,Liverpool FC,1
Dan Burn,England,Brighton & Hove Albion,1
Daniel Amartey,Ghana,Leicester City,1
Daniel James,Wales,Manchester United,3
Daniel Jebbison,England,Sheffield United,1
Daniel Podence,Portugal,Wolverhampton Wanderers,3
Danny Drinkwater,England,Chelsea FC,0
Danny Ings,England,Southampton FC,12
Danny Welbeck,England,Brighton & Hove Albion,6
Darnell Furlong,England,West Bromwich Albion,1
Darren Bent,England,Burton,2
David De Gea,Spain,Manchester United,0
David Luiz,Brazil,Arsenal FC,1
David McGoldrick,Ireland,Sheffield United,8
Dean Henderson,England,Manchester United,0
Declan Rice,England,West Ham United,2
Dele Alli,England,Tottenham Hotspur,1
Dennis Praet,Belgium,Leicester City,1
