Rank,Player,Unnamed: 2,Country,Team,Goals (Penalty)
1,Harry Kane,,England,Tottenham Hotspur,23 (4)
2,Mohamed Salah,,Egypt,Liverpool FC,22 (6)
3,Bruno Fernandes,,Portugal,Manchester United,18 (9)
4,Patrick Bamford,,England,Leeds United,17 (2)
,Heung-min Son,,South Korea,Tottenham Hotspur,17 (1)
6,Dominic Calvert-Lewin,,England,Everton FC,16 (0)
7,Jamie Vardy,,England,Leicester City,15 (8)
8,Ollie Watkins,,England,Aston Villa,14 (1)
9,İlkay Gündoğan,,Germany,Manchester City,13 (1)
,Alexandre Lacazette,,France,Arsenal FC,13 (3)
11,Kelechi Iheanacho,,Nigeria,Leicester City,12 (0)
,Danny Ings,,England,Southampton FC,12 (2)
,Callum Wilson,,England,Newcastle United,12 (4)
,Chris Wood,,New Zealand,Burnley FC,12 (2)
15,Gareth Bale,,Wales,Tottenham Hotspur,11 (0)
,Sadio Mané,,Senegal,Liverpool FC,11 (0)
,Matheus Pereira,,Brazil,West Bromwich Albion,11 (4)
,Marcus Rashford,,England,Manchester United,11 (0)
,Wilfried Zaha,,Ivory Coast,Crystal Palace,11 (2)
20,Michail Antonio,,Jamaica,West Ham United,10 (0)
,Pierre-Emerick Aubameyang,,Gabon,Arsenal FC,10 (2)
,Christian Benteke,,Belgium,Crystal Palace,10 (0)
,Edinson Cavani,,Uruguay,Manchester United,10 (0)
,Anwar El Ghazi,,Netherlands,Aston Villa,10 (4)
,Nicolas Pépé,,Ivory Coast,Arsenal FC,10 (1)
,Tomáš Souček,,Czech Republic,West Ham United,10 (0)
,Raheem Sterling,,England,Manchester City,10 (0)
28,Che Adams,,Scotland,Southampton FC,9 (0)
,Harvey Barnes,,England,Leicester City,9 (0)
,Diogo Jota,,Portugal,Liverpool FC Wolverhampton Wanderers,9 (0)
,Phil Foden,,England,Manchester City,9 (0)
,Gabriel Jesus,,Brazil,Manchester City,9 (0)
,Jesse Lingard,,England,Manchester United West Ham United,9 (1)
,Riyad Mahrez,,Algeria,Manchester City,9 (0)
,Roberto Firmino,,Brazil,Liverpool FC,9 (0)
36,Jarrod Bowen,,England,West Ham United,8 (0)
,Stuart Dallas,,Northern Ireland,Leeds United,8 (0)
,Jack Harrison,,England,Leeds United,8 (0)
,James Maddison,,England,Leicester City,8 (0)
,Neal Maupay,,France,Brighton & Hove Albion,8 (3)
,David McGoldrick,,Ireland,Sheffield United,8 (0)
,James Ward-Prowse,,England,Southampton FC,8 (3)
,Joe Willock,,England,Arsenal FC Newcastle United,8 (0)
44,Ferrán Torres,,Spain,Manchester City,7 (0)
,Mason Greenwood,,England,Manchester United,7 (0)
,Jorginho,,Italy,Chelsea FC,7 (7)
,Richarlison,,Brazil,Everton FC,7 (1)
,Rodrigo,,Spain,Leeds United,7 (0)
,Bertrand Traoré,,Burkina Faso,Aston Villa,7 (0)
50,Tammy Abraham,,England,Chelsea FC,6 (0)
,Kevin De Bruyne,,Belgium,Manchester City,6 (2)
,Jack Grealish,,England,Aston Villa,6 (0)
,Mason Mount,,England,Chelsea FC,6 (1)
,Raphinha,,Brazil,Leeds United,6 (0)
,James Rodríguez,,Colombia,Everton FC,6 (0)
,Gylfi Sigurðsson,,Iceland,Everton FC,6 (3)
,Youri Tielemans,,Belgium,Leicester City,6 (2)
,Danny Welbeck,,England,Brighton & Hove Albion,6 (0)
,Timo Werner,,Germany,Chelsea FC,6 (0)
60,Lewis Dunk,,England,Brighton & Hove Albion,5 (0)
,Pablo Fornals,,Spain,West Ham United,5 (0)
,Pedro Neto,,Portugal,Wolverhampton Wanderers,5 (0)
,Bobby Reid,,Jamaica,Fulham FC,5 (0)
,Callum Robinson,,Ireland,West Bromwich Albion,5 (0)
,Rúben Neves,,Portugal,Wolverhampton Wanderers,5 (3)
,Bukayo Saka,,England,Arsenal FC,5 (0)
,Leandro Trossard,,Belgium,Brighton & Hove Albion,5 (0)
,Kurt Zouma,,France,Chelsea FC,5 (0)
69,Sergio Agüero,,Argentina,Manchester City,4 (1)
,Miguel Almirón,,Paraguay,Newcastle United,4 (0)
,Stuart Armstrong,,Scotland,Southampton FC,4 (0)
,Eberechi Eze,,England,Crystal Palace,4 (0)
,Fábio Silva,,Portugal,Wolverhampton Wanderers,4 (1)
,Olivier Giroud,,France,Chelsea FC,4 (0)
,Kai Havertz,,Germany,Chelsea FC,4 (0)
